punto_id,nombre_punto,latitud,longitud
0,MUBIL,-38.915556,-72.252222
1,ASALA,-27.675556,-108.439444
2,IVDM,-32.9441666666667,-71.4702777777778
3,VUDAP,-23.143889,-68.805
4,ANGAT,-23.151944,-68.553056
5,OPURA,-45.268611,-71.955
6,BAL,-45.913056,-71.7125
7,SIROV,-34.584722,-70.622778
8,MUKSO,-43.280278,-72.974444
9,SASTI,-42.591944,-73.228333
10,REKET,-44.098889,-72.380833
11,MUNER,-52.0,-71.31
12,GE025,-37.353156,-72.419825
13,EDSUK,-31.416667,-90.0
14,ARMOS,-24.291667,-67.979167
15,EL138,-33.401844,-70.642517
16,URIDA,-43.275278,-72.670556
17,TESEX,-38.931111,-71.433611
18,GUVOL,-32.375,-70.225
19,SOTKU,-21.866667,-68.0625
